ID	GeneSymbol
axo17679-f_at	XPO5
axo23514-f_at	
axo17380-r_at	MCCC1
axo12124-f_at	TRIM16
axo18441-f_at	C14orf135
axo18952-f_at	C17orf42
axo16367-r_at	VPS13B
axo07408-f_x_at	ACTG1
axo17625-f_at	PLAC9
axo05960-f_at	RNF24
axo00306-f_at	PPP4R4
axo13272-f_at	DNAJC15
axo19500-f_at	RNF146
axo03262-f_at	SPRY1
axo02974-r_at	C7orf28B
axo29464-f_at	
axo15827-f_at	RANGRF
axo13314-f_at	ANKRD11
axo06406-r_at	TXNL4B
axo16769-f_at	ECHDC2
axo19831-f_at	TMEM126A
axo12686-f_s_at	RPL10A
axo01885-f_at	C5orf35
axo10569-r_at	WTAP
axo07842-f_at	FTH1
axo27583-f_at	
axo06937-f_at	SCOC
axo27720-f_at	
axo03927-f_at	LOC100128274
axo00761-f_at	REP15
axo09388-f_at	PDLIM4
axo13569-f_at	SRP68
axo26850-f_at	
axo01936-f_s_at	LMNA
axo10250-r_at	SCO1
axo28642-f_at	
axo16544-f_at	ANO10
axo08602-f_at	PVALB
axo07100-f_at	CLDN7
axo18319-f_at	RBM26
axo17582-f_at	LYRM2
axo31471-f_at	
axo16538-f_at	GPN2
axo13056-f_at	HEY1
axo10366-r_at	RRP9
axo10934-f_at	GAK
axo11493-r_at	MANBA
axo12274-r_at	ZBTB6
axo06011-r_at	AFAP1
axo14726-r_at	DNAJC9
axo10922-f_at	FAT1
axo07381-f_at	ING2
axo17385-f_at	
axo17453-r_at	CABC1
axo19527-f_at	PDPK1
axo24417-r_at	
axo08531-f_s_at	PSMC5
axo02684-f_at	PRX
axo14290-r_at	F13A1
axo11024-f_at	SLC2A9
axo20867-f_s_at	HNRNPA3
axo01009-f_at	ZC3H18
axo02753-f_at	BPTF
axo09417-f_at	CDC2L5
axo08665-f_at	RDBP
axo00701-r_at	RRM2
axo16807-f_at	C6orf64
axo10510-f_s_at	EIF4E2
axo17310-f_at	METTL3
axo30826-f_at	
axo02273-f_at	CSTF1
axo24542-f_at	
axo30052-f_at	
axo18852-f_at	AKIRIN1
axo02277-r_at	LDLRAD3
axo18552-f_at	CUTA
axo03797-f_at	LOC100129323
axo27369-f_at	
axo09239-r_at	TAGLN2
axo18221-f_at	GNGT1
axo28210-f_at	
axo02631-r_at	FAM101A
axo12862-f_at	KIF22
axo24074-r_at	
axo10234-f_at	SEPT4
axo24839-f_at	
axo21456-f_at	CAMK2B
axo17065-r_at	OLA1
axo04408-f_at	SMAP1
axo15989-f_at	CYP3A4
axo02731-f_at	BCL9L
axo11672-r_at	SMYD5
axo09390-f_at	AKR7A2
axo12898-f_at	MTF2
axo10385-f_at	AP4M1
axo09333-f_at	PARG
axo03376-f_at	RBBP8
axo10604-f_at	DHX8
axo11523-r_at	MAP3K4
axo26589-f_at	
axo16595-r_at	ARMC1
axo10008-f_at	COL12A1
axo21848-f_at	
axo22243-f_at	
axo00703-r_at	DCAF15
axo12203-r_at	CTCF
axo10245-f_at	RAD9A
axo14209-r_at	CD302
axo15831-r_s_at	CXorf26
axo31460-f_at	
axo02986-f_at	GRHL3
axo12336-r_at	NFU1
axo19504-f_at	ARPC5L
axo19372-f_at	JHDM1D
axo03283-f_at	SOCS4
axo08266-f_at	NDUFA2
axo10014-f_at	COX11
axo29216-f_at	
axo05346-f_at	APOH
axo04238-f_at	CCDC112
axo08119-f_at	LUM
axo13574-f_at	HSD17B8
axo13746-f_at	VPS41
axo07486-f_at	NCAM1
axo17210-f_at	EXOC6
axo02174-f_at	NSMCE2
axo13216-r_at	SEMA3E
axo06666-r_at	MX1
axo24716-f_at	
axo12545-f_at	PYCR1
axo07690-r_at	CSNK2A1
axo24670-f_at	
axo13702-r_at	HIBCH
axo06467-f_at	P4HA2
axo01946-r_at	C11orf31
axo29191-f_at	
axo19477-f_at	C1orf25
axo13814-f_at	RAB30
axo06296-r_at	POMT1
axo00918-r_at	PPIL4
axo13901-f_at	NUMB
axo13994-r_at	DOCK10
axo13401-f_at	FADS1
axo28766-f_at	
axo03841-f_at	
axo18547-f_at	RABL5
axo06252-f_at	FDPS
axo27008-f_at	
axo10404-f_at	VAPB
axo02653-r_at	DPY19L4
axo09519-f_at	CRADD
axo25097-f_at	
axo21689-f_at	
axo20975-f_at	VSIG4
axo16763-f_at	C20orf20
axo05114-f_at	SENP6
axo00931-r_at	TRUB1
axo05405-r_at	DHX36
axo04339-f_at	COASY
axo18474-f_at	HOXC8
axo16491-f_at	FUT1
axo31181-f_at	
axo11726-r_at	SPON1
axo19848-f_at	DCUN1D5
axo13122-r_at	LETM1
axo08314-r_at	OGG1
axo08230-r_at	MYBL2
axo11629-f_at	CDC123
axo20986-f_s_at	PRDX5
axo11352-f_at	G3BP1
axo02576-f_at	DCAF4
axo06909-f_at	ZNF674
axo22333-f_at	
axo03418-f_at	ENTPD2
axo06421-f_at	SLC10A3
axo19585-f_at	RTP3
axo13178-f_at	PITPNB
axo04993-r_at	C12orf44
axo15503-f_at	GLOD4
axo31468-f_at	
axo18487-r_at	ELOVL4
axo12574-f_at	SRP72
axo19582-f_at	THAP2
axo24192-f_at	
axo06326-f_at	SGMS2
axo10726-f_at	RBBP5
axo23781-f_at	
axo13633-f_s_at	GCAT
axo23845-f_at	
axo04316-f_at	PSAP
axo24856-f_at	
axo24299-r_at	
axo16897-r_at	CHST11
axo12674-f_at	LSM6
axo06790-f_at	LSS
axo24133-f_at	
axo15852-f_at	KLF3
axo08694-r_at	RGS13
axo01840-f_at	LRIG3
axo28521-f_at	
axo00897-f_at	ADAMTS13
axo02041-f_at	SMG7
axo01379-f_at	NSUN5
axo06561-f_at	NOX4
axo10617-f_at	MTOR
axo12664-f_at	KPTN
axo07334-f_s_at	GSTA4
axo13522-f_at	MRPL18
axo05195-f_at	C1orf59
axo04439-r_s_at	UBL5
axo30855-f_at	
axo05105-f_at	TMEM192
axo04980-f_at	PTEN
axo12338-r_at	GLO1
axo16083-r_at	RNF111
axo29696-f_at	
axo25479-f_at	
axo19216-r_at	MOGAT2
AFFX-PheX-M_at	
axo15396-f_at	POLR1D
axo16015-f_at	ZNF821
axo30357-f_at	
axo17865-f_at	FXR1
axo16418-r_at	USP47
axo00829-r_at	ALKBH8
axo15222-r_at	B9D1
axo18511-f_at	TNS3
axo27521-f_at	
axo03387-f_at	CLU
axo11164-f_at	HSPG2
axo02167-f_at	RPUSD3
axo12859-f_at	COMT
axo06832-f_at	LYAR
axo05665-f_at	ORMDL1
axo00614-f_at	CCBE1
axo17735-r_at	PDP2
axo19935-f_at	HMBS
axo27125-f_at	
axo27118-f_at	
axo18633-f_at	ANKRA2
axo18556-f_at	ARV1
axo15139-r_at	
axo09752-r_at	CTSS
axo09779-r_at	FDX1
axo19784-r_at	BXDC1
axo08171-f_at	MGMT
axo13921-f_at	SH3PXD2A
axo07927-f_at	HMGCS1
axo11037-f_at	PPP1R3C
axo07632-f_at	AGL
axo24034-f_at	
axo17353-r_at	UBQLN4
axo31191-f_at	
axo06015-f_at	RG9MTD2
axo13412-f_at	BAZ2B
axo05522-f_at	PCID2
axo24124-f_s_at	
axo16873-f_at	LSG1
axo15375-r_at	C7orf20
axo08529-f_at	PSMC3
axo17203-r_at	CCDC93
axo15312-f_at	UMOD
axo27243-f_at	
axo30294-f_at	
axo02752-r_at	MRPS9
axo26094-f_at	
axo25292-f_at	
axo13721-f_at	AKAP8L
axo10841-r_at	ABL1
axo17291-f_at	IRGC
axo03843-f_at	LOC285095
axo07119-r_at	CSTF2
axo19273-f_at	NINL
axo15472-r_at	FAM158A
axo29741-f_at	
axo16220-f_at	
axo12430-r_at	UGT2A1
axo29428-f_at	
axo11611-f_at	TUBA1A
axo06027-f_x_at	KRT5
axo05876-r_at	IPCEF1
axo11504-r_at	MAT2A
axo19909-f_at	ELOF1
axo18186-r_at	FASTKD5
axo04983-f_at	C14orf100
axo30200-f_at	
axo23752-r_at	
axo11671-f_at	TNIP1
axo20081-r_at	RTN4IP1
axo15017-f_at	OLFML2B
axo19327-f_at	AARSD1
axo02459-r_at	P2RY8
axo30415-f_at	
axo09600-f_at	FCGBP
axo26819-f_at	
axo04771-f_at	DNLZ
axo26184-f_at	
axo17413-r_at	C5orf15
axo16847-r_at	UFSP2
axo28336-f_at	
axo15501-r_at	FAM18B
axo19581-f_at	CORO1B
axo06268-f_at	TTC39C
axo28214-f_at	
axo06405-r_at	TXNL4B
axo06172-f_at	GIT2
axo23962-f_at	
axo01050-f_at	FAM76B
axo28963-f_at	
axo08320-r_at	OSBP
axo09860-f_at	PTTG1
axo28397-f_at	
axo16254-f_at	FAM168B
axo31713-f_at	
axo08599-f_at	PTX3
axo27069-f_at	
axo28847-f_at	
axo06774-f_at	ALKBH2
axo06599-r_at	OGDHL
axo07089-f_at	CLNS1A
axo16565-r_at	NECAP2
axo13319-f_at	MAT2B
axo24354-r_at	
axo19319-f_at	RAB28
axo12205-f_at	CD226
axo05864-f_s_at	CALU
axo17864-r_at	RDH14
axo12477-r_at	CCNI
axo10547-f_at	GMFG
axo08491-f_at	MAPK13
axo00670-f_at	DTX3L
axo16246-f_at	PXK
axo02764-f_at	GPATCH4
axo00423-f_at	ROMO1
axo11112-f_at	CHAF1A
axo08697-f_at	RNASEH1
axo25975-f_at	
axo05593-f_at	FAM119A
axo01502-r_at	ZNF572
axo01223-r_at	TP53BP2
axo19469-f_at	TSPAN14
axo17147-r_at	FAM190B
axo23863-f_at	
axo14368-f_at	SPEN
axo10177-f_at	MOCS2
axo16263-r_at	CCDC99
axo25120-f_at	
axo27947-f_at	
axo09467-r_s_at	EIF3H
axo31466-f_s_at	
axo16519-f_at	WDR60
axo01931-f_at	ZNF398
axo18942-f_at	TBL1XR1
axo10866-r_at	CAPN1
axo10621-r_at	HDAC1
axo30504-f_at	
axo06945-f_at	ADAL
axo11973-r_at	TIMM23
axo18183-r_at	MRPS35
axo13530-r_at	GTPBP8
axo15829-f_at	MRPL51
axo13133-f_at	MMD
axo05046-f_at	ACTN1
axo10842-f_at	ACTC1
axo01743-f_at	APCDD1
axo24014-f_at	
axo12997-f_at	FBXO3
axo04230-f_at	DCUN1D4
axo03552-r_at	FREM2
axo18143-f_at	ALOXE3
axo12406-f_at	INMT
axo26805-f_at	
axo00414-r_at	IFITM5
axo15605-f_at	EML1
axo11090-f_at	RQCD1
axo28626-f_at	
axo14981-f_at	YIPF3
axo05976-f_at	C7orf50
axo30296-f_at	
axo06753-f_at	NGLY1
axo08930-f_at	GABRG2
axo12043-f_at	HBXIP
axo11716-r_at	NDC80
axo00228-f_at	MYLK
axo11617-f_at	CLPP
axo26539-f_at	
axo11297-f_at	SCAMP2
axo24684-f_at	
axo09154-r_at	ZNF135
axo07620-f_at	CHN1
axo09113-f_at	VLDLR
axo08709-r_at	RPN2
axo15158-f_at	HERC4
axo11189-f_at	LAMP1
axo13879-f_at	DNTTIP2
axo06577-f_at	C12orf65
axo22144-f_at	
axo12954-r_at	BACE2
axo07604-f_at	CDKN2D
axo03114-r_at	RBM43
axo09099-f_at	VBP1
axo22261-f_at	
axo13557-f_at	PKP1
axo11295-f_at	DNM1L
axo18356-f_at	IFIH1
axo06125-f_at	FIP1L1
axo24469-f_at	
axo16574-f_at	ECT2
axo21940-r_at	
axo31597-f_s_at	
axo12625-f_at	DDX52
axo15286-f_at	LMO7
axo15374-f_at	ASCC1
axo29288-f_at	
axo19743-r_at	TKTL2
axo06149-f_at	PAFAH1B1
axo07079-r_at	TBCB
axo15497-r_at	VPS36
axo15496-f_at	VPS36
axo02467-f_at	ZNF598
axo16725-f_at	FAM21B
axo06671-r_at	LOC65998
axo13591-f_at	RAPGEF2
axo10712-f_at	PRKX
axo07287-f_at	FHL1
axo17458-f_at	CCNL1
axo04624-f_at	DBI
axo11308-f_at	ARPC5
axo08884-r_at	SSRP1
axo09893-f_at	SEMA4F
axo04844-f_at	PKP1
axo27665-f_at	
axo00772-r_at	ZMYND19
axo28247-f_at	
axo17861-f_at	PHRF1
axo16578-f_at	CDCA8
axo23932-f_at	
axo09013-r_at	TNNI2
axo24156-f_at	
axo17529-f_at	SETD8
axo18898-r_at	OGFOD2
axo24938-f_at	
axo09404-r_at	RUVBL1
axo02282-f_at	TCTE3
axo28393-f_at	
axo06499-f_at	C1QB
axo16014-f_at	WBSCR22
axo19971-f_at	TNXB
axo12807-r_at	DCTN3
axo12398-r_at	LMO4
axo18675-r_at	MIS12
axo01845-r_at	KRT13
axo01600-r_at	DCP2
axo01726-f_at	C17orf103
axo17630-r_at	KIAA1143
axo11091-r_at	RQCD1
axo27104-f_at	
axo00155-f_at	VPS26B
axo09786-f_at	GPS1
axo06001-f_at	LRRC8B
axo25817-f_at	
axo05185-f_at	C8orf41
axo13303-r_at	SAP30BP
axo16639-f_at	NADSYN1
axo24279-r_at	
axo11041-f_at	RALA
axo20007-f_at	NT5C1A
axo16126-f_at	FTSJ3
axo12916-f_at	ATF5
axo12268-f_at	HBS1L
axo06013-r_at	ZNF213
axo09808-f_at	ORC1L
axo00629-f_at	FAM108B1
axo00959-f_at	PPTC7
axo22509-f_at	
axo23973-f_at	
axo12169-f_at	DYNLT3
axo00054-f_at	DIXDC1
axo16784-r_at	CWF19L1
axo15373-r_at	PELO
axo13624-f_at	DNAJC8
axo19000-r_at	RERGL
axo31689-f_at	
axo24709-f_at	
axo03408-f_at	RCAN1
axo19120-r_at	ZCCHC4
axo03392-f_at	ZRANB2
axo19105-f_at	GRHL2
axo21301-f_s_at	HNRNPK
axo24589-f_at	
axo13113-f_at	SHANK2
axo06056-f_at	RTL1
axo26965-f_at	
axo05465-f_at	BCOR
axo29542-f_at	
axo17202-r_at	CCDC93
axo13731-f_at	DNAJC2
axo23745-f_at	
axo27357-f_at	
axo05885-f_at	DNMT1
axo26845-f_at	
axo02171-f_at	DCBLD1
axo09771-r_at	F2RL2
axo19626-f_at	ITCH
axo11967-r_at	PGRMC2
axo05619-r_at	C9orf95
axo13398-r_at	FTSJ2
axo25958-f_at	
axo26678-f_at	
axo20819-f_s_at	SFPQ
axo16095-r_at	NOTCH1
axo16148-r_at	OTUB1
axo27831-f_at	
axo10649-f_at	MARS
axo19045-f_at	CBLL1
axo17516-f_at	UTP3
axo16744-r_at	CDK5RAP2
axo00021-f_at	RGS8
axo13598-f_at	RBX1
axo07714-f_at	DCI
axo20890-f_s_at	S100P
axo20285-f_at	GTPBP10
axo00066-f_at	ABCC10
axo17505-r_at	ENTPD7
axo14773-f_at	PRUNE2
axo15358-r_at	POP5
axo06178-f_at	NDRG1
axo04250-r_at	EFTUD1
axo06618-f_at	UBAC2
axo08390-r_at	PHB
axo09855-r_at	FIBP
axo27849-f_at	
axo18884-f_at	C3orf52
axo04099-r_at	FRMPD3
axo25842-f_at	
axo16503-f_at	WDR70
axo28029-f_at	
axo19417-f_at	SGPP1
axo04185-f_at	TCERG1
axo11152-f_at	CALHM1
axo08010-f_s_at	IVD
axo15593-r_at	SDF4
axo18777-f_at	C14orf4
axo24477-f_at	
axo05592-r_at	XPA
axo30085-f_at	
axo08033-f_at	KIFC1
axo06687-f_at	NEDD4L
axo21369-f_at	KRT73
axo29157-f_at	
axo25262-f_at	
axo28320-f_at	
axo08835-f_at	SOD3
axo07685-f_at	CRYAB
axo30514-f_at	
axo15319-f_at	UMOD
axo07900-f_at	GRN
axo09821-r_at	SDHA
axo08601-f_at	PVALB
axo08548-r_s_at	PSME2
axo01846-f_at	COG7
axo25867-f_at	
axo24956-f_at	
axo12657-f_at	KIF3A
axo08443-f_at	PPL
axo00460-r_at	DPP3
axo04910-r_at	RPP38
axo01755-r_at	C1orf83
axo16637-r_at	FAM171A1
axo31574-f_at	
axo16871-f_at	WDR33
axo18905-r_at	MAK10
axo24275-f_at	
axo04850-f_at	ASRGL1
axo05186-r_at	C8orf41
AFFX-r2-Bs-phe-3_at	
axo11480-r_at	ACAT2
axo15489-f_at	Magmas
axo20481-f_s_at	ANG
axo20765-f_at	CTSH
axo29934-f_at	
axo14642-r_at	RTF1
axo27436-f_at	
axo15995-f_at	WDR1
axo11632-r_at	TAX1BP1
axo24536-f_at	
axo13145-f_at	ALG11
axo28756-f_at	
axo11933-f_at	VARS
axo27100-f_at	
axo29179-f_at	
axo10688-r_at	PDE1C
axo08563-r_at	PTPN3
axo05567-f_at	ZNF84
axo05826-f_at	VWA5A
axo07510-f_at	ATP6V1B2
axo08183-f_at	MMP8
axo15377-f_at	MRPL2
axo04154-r_at	CBFA2T2
axo03824-r_at	CREBZF
axo15274-f_at	GEMIN4
axo13806-f_at	ZNF544
axo26153-f_at	
axo18181-r_at	SAV1
axo17056-f_at	NDUFA12
axo04984-f_at	IRF5
axo22427-f_at	
axo14788-f_at	PHF14
axo23871-f_at	
axo06017-f_s_at	LOC100128731
axo01277-f_at	LRTOMT
axo07015-f_at	CALU
axo24910-f_at	
axo04897-f_at	TCP11
axo00825-f_at	CCDC126
axo07817-f_at	FHIT
axo09958-f_at	BCL9
axo07320-r_at	C7
axo11029-f_at	PCMT1
axo07605-f_at	CDO1
axo29993-f_at	
axo00360-f_at	
axo08352-f_at	PCSK2
axo23468-f_at	
axo15320-f_at	UMOD
axo06100-f_at	RTL1
axo16420-r_at	C1orf69
axo11681-f_at	TFG
axo21531-f_at	LOC729991
axo16859-f_at	ACER3
axo05280-f_at	ZNF250
axo11252-f_at	TCEB1
axo14275-f_at	MTX2
axo04207-f_at	CHTF8
axo13793-f_at	TEKT2
axo21492-f_at	TRIM69
axo16875-r_at	STRBP
axo15775-r_at	UFC1
axo15834-r_at	CKAP5
axo15889-f_at	CYP39A1
axo21300-f_s_at	HNRNPK
axo04907-r_at	PON2
axo08724-r_at	CYP51A1
axo12267-r_at	KDM5B
axo03489-f_at	MPEG1
axo06109-r_at	RTL1
axo19110-f_at	DSN1
axo04547-f_at	SLC39A7
axo10977-f_x_at	HBE1
axo00658-f_at	SMTN
axo02996-r_at	UBA3
axo11511-r_s_at	MCM4
axo28772-f_at	
axo15522-r_at	SCFD1
axo07214-3_at	EEF1A1
axo08658-f_at	RBMS2
axo14993-f_at	BRP44
axo11598-f_at	VPS72
axo08748-f_at	DCK
axo19523-f_at	RBCK1
axo25351-f_at	
axo01462-f_at	DDX59
axo00837-f_at	C6orf72
axo31651-f_s_at	
axo01235-r_s_at	TRIM11
axo04927-f_at	GPR1
axo18536-f_at	MTHFSD
axo00917-f_at	TAF6
axo01792-f_at	MCOLN2
axo16636-f_at	RIC8B
axo16386-r_at	C11orf59
axo09789-r_at	GYG1
axo20348-f_s_at	COL1A1
axo24842-f_at	
axo09494-f_at	ABCC3
axo10212-f_at	COL1A2
axo31497-f_s_at	
axo29303-f_at	
axo17190-r_at	EXOSC4
axo02103-r_at	PNLDC1
axo13645-r_at	BRD4
axo01392-f_at	CSNK1E
axo08447-r_at	PPM1G
axo04542-f_at	NFKB2
axo16973-f_at	TMCO6
axo19882-f_at	C17orf37
axo06758-f_at	CDK6
axo14805-f_at	MICAL3
axo12080-f_at	CCT7
axo08095-r_at	LMX1B
axo20875-f_at	IRX2
axo15495-f_at	BOLA1
axo18397-f_at	RNF25
axo10589-f_at	CAPZB
axo06712-f_at	GPN1
axo07299-f_at	FLT3LG
axo25548-f_at	
axo30106-f_at	
axo10207-f_at	NDUFB2
axo11039-f_at	PRKAB2
axo02123-f_at	ZNF584
axo10720-f_at	PWP2
axo12219-r_at	B3GNT2
axo09594-f_at	FCGBP
axo20092-f_at	KALRN
axo11840-f_at	PIN4
axo21874-f_at	
axo05618-f_at	ING4
axo10845-f_at	ADRBK2
axo05514-r_at	UROS
axo03849-f_at	
axo07816-f_at	FGF9
axo03447-f_at	PARD3B
axo08690-f_at	CBS
axo29181-f_at	
axo24182-f_at	
axo17435-f_at	PSMG2
axo16997-f_at	TRAPPC2
axo11786-f_at	NNMT
axo01209-r_at	SFRS7
axo03506-f_at	ENSA
axo15156-f_at	PGM3
axo06589-f_at	WEE1
axo25310-f_at	
axo20319-r_at	PIGS
axo00660-f_at	TARBP2
axo23396-f_at	
axo12158-f_at	SETMAR
axo09045-f_at	PHLDA2
axo31666-f_at	
axo25538-f_at	
axo03403-r_at	MBLAC1
axo18153-f_at	C12orf10
axo03470-r_at	TACC2
axo27791-f_at	
axo15468-f_at	SLMO2
axo12951-f_at	DNPEP
axo07975-f_at	INSM1
axo18648-r_at	OTUB2
axo23040-f_at	
axo03255-f_at	CCNG1
axo11238-f_at	SFRS4
axo07513-r_at	ATP6V1E1
axo26187-f_at	
axo18864-f_at	SFRS14
axo09841-f_at	ASMTL
axo19284-f_at	C16orf70
axo20917-f_s_at	EIF3M
axo00681-f_at	MYEOV2
axo03139-f_at	SEC24C
axo02767-f_at	SRPK2
axo19953-r_at	MEGF11
axo11299-f_at	TSSC4
axo18712-r_at	DCTPP1
axo24623-f_at	
axo18929-f_at	NOL9
axo11450-r_at	GALK2
axo18104-r_at	EPS15L1
axo13193-f_at	RAD54B
axo16459-f_at	FAM83B
axo21858-f_at	
axo31251-f_at	
axo19391-r_at	TCP1
axo16886-f_at	MUC4
axo21241-f_at	MYL6
axo28269-f_at	
axo17514-r_at	PARP11
axo05099-f_at	C7orf57
axo11264-f_at	UFD1L
axo06934-f_at	ANXA4
axo08388-f_at	PGD
axo13647-r_at	SEC11A
axo29836-f_at	
axo15516-r_at	BRP44L
axo14686-f_at	XPO6
axo11179-f_at	LAD1
axo19242-f_at	FHOD3
axo20212-r_s_at	TMEM128
axo08510-f_at	PSMA2
axo16605-f_at	TSR1
axo01469-f_at	C1orf131
axo12214-r_at	CSPG5
axo13547-f_at	COMMD9
axo18507-f_at	ATPAF1
axo17383-f_at	NCLN
axo03337-f_at	CDC42SE2
axo11609-f_at	TUBA1A
axo20288-f_at	A2LD1
axo24645-f_at	
axo01337-f_at	ZNRF2
axo31184-f_at	
axo19780-f_at	MYST1
axo12332-r_at	TXNL4A
axo06237-r_at	PNCK
axo03720-f_at	
axo18435-f_at	
axo08011-f_at	IVD
axo18641-r_at	ZNF649
axo06983-f_at	BCKDHB
axo22851-f_at	
axo20139-r_at	CIRH1A
axo06090-f_at	RTL1
axo02357-f_at	ANKRD43
axo12495-f_at	SLC38A3
axo13015-f_at	GNG3
axo28873-f_at	
axo09702-f_at	MAP7
axo05768-f_at	KIAA1841
axo02331-f_at	TJP1
axo30224-f_at	
axo13899-r_at	MDN1
axo03501-r_at	FAM45A
axo02420-f_at	PPM1B
axo12676-f_at	WDHD1
axo28724-f_at	
axo19737-f_at	
axo18543-f_at	EPS8L2
axo20926-f_s_at	IFITM3
axo10010-f_at	COPA
axo25176-f_at	
axo06995-f_at	BCAT2
axo27413-f_at	
axo15340-f_at	EIF5B
axo11277-f_at	PSCA
axo04871-r_at	C5orf33
axo27002-f_at	
axo03708-f_at	
axo16121-f_at	KIF21A
axo17020-r_at	MLL5
axo27329-f_at	
axo24374-r_at	
axo08612-f_at	PYGL
axo18390-r_at	MLF1
axo29730-f_at	
axo12764-f_at	ZMAT5
axo18492-f_at	NUCKS1
axo09536-r_at	MPDZ
axo17655-f_at	DLG3
axo19630-f_s_at	RBM4B
axo28984-f_at	
axo02821-f_at	BIRC3
axo08337-f_at	PAFAH1B2
axo19999-f_at	HADHB
axo03140-f_at	AGPAT3
axo07364-f_at	HSBP1
axo19492-f_at	POLR3H
axo09573-f_at	GMPS
axo31392-f_at	
axo18637-r_at	SPATS2
axo00640-f_at	CD109
axo19615-f_at	TRPT1
axo12350-f_at	MCTP1
axo13123-r_at	LETM1
axo20643-f_s_at	TRIM17
axo02705-f_at	ZFAND2A
axo16767-f_at	SAMD13
axo05961-f_at	PSMG3
axo17097-r_at	UBB
axo17270-f_at	ZNF26
axo08258-f_at	NASP
axo00929-f_at	ABRA
axo13573-r_at	UBTF
axo16073-f_at	DIRAS2
axo30024-f_at	
axo28680-f_at	
axo15499-f_at	PTRH2
axo14299-r_at	KIFAP3
axo03722-r_at	
axo27199-f_at	
axo04721-f_at	RGNEF
axo10182-f_at	PTGDS
axo07235-f_s_at	EIF4A1
axo07946-f_at	HSPE1
axo09230-f_at	HIST2H4A
axo02428-f_at	ARL6
axo15687-f_at	TRAP1
axo04209-r_at	PEG10
axo11275-f_at	REEP5
axo13001-f_at	FBXO8
axo23910-f_at	
axo12272-f_s_at	MARCH8
axo06639-r_at	NSMAF
axo15869-f_at	ACSL6
axo01366-f_at	C9orf23
axo10870-f_at	CBL
axo03624-r_at	ARMC8
axo09622-f_at	EIF2S2
axo07247-r_at	EMP2
axo00213-f_at	TRIM9
axo02233-r_at	HARBI1
axo11353-f_at	EBI3
axo16315-r_at	C11orf79
axo13946-f_at	KIAA0430
axo31299-f_at	
axo24132-f_at	
axo02726-f_at	NSUN6
axo07541-f_at	BPI
axo11410-f_at	EIF1
axo11436-f_at	POP7
axo15628-f_at	CYB5R2
axo06154-f_at	COMT
axo15918-f_at	GDE1
axo01991-r_at	CAMK2D
axo11153-f_at	HES1
axo00861-r_at	CCDC148
axo09580-f_at	MGP
axo06950-f_s_at	TPI1
axo03465-f_at	RTN1
axo16366-r_at	VPS13B
axo22653-f_at	
axo19301-f_at	MED28
axo31285-f_at	
axo09521-f_at	TNFSF10
axo19039-f_at	C18orf22
axo05952-f_at	NT5DC2
axo12447-r_at	SEC61B
axo18067-f_at	SLC30A1
axo19489-f_at	PPP1R14C
axo02791-f_at	ATF4
axo17663-f_at	LRFN2
axo19400-f_at	
axo01543-f_at	TMEM56
axo30916-f_at	
axo25409-f_at	
axo07971-f_at	IGHMBP2
axo04335-f_at	C6orf162
axo04865-f_at	MRAS
axo13764-f_at	RTDR1
axo09741-f_at	CDKN1B
axo27403-f_at	
axo27532-f_at	
axo02496-f_at	NOP2
axo18955-f_at	GPI
axo13384-r_at	PDCD6IP
axo20717-f_s_at	EIF3H
axo16099-f_at	RNPC3
axo13648-f_at	PES1
axo07856-r_at	GBP1
axo22337-f_at	
axo30132-f_at	
axo09355-f_at	CHST1
axo08642-f_at	RANGAP1
axo17386-f_at	FEM1C
axo05344-r_at	ZNF385B
axo21584-f_at	
axo13084-r_at	CABIN1
axo28460-f_at	
axo26691-f_at	
axo29793-f_at	
axo00987-f_at	NEXN
axo19646-r_at	MRPL32
axo26893-f_at	
axo18501-f_at	SMYD3
axo02338-r_at	RAB3IP
axo01572-r_at	RASEF
axo26198-f_at	
axo18096-r_at	SRRD
axo20778-f_at	AGFG1
axo17584-r_at	SNX14
axo13038-f_at	RYBP
axo11601-r_at	CCT3
axo06131-f_at	MAT1A
axo01062-f_at	OTOA
axo24849-f_at	
axo17904-r_at	FANCM
axo18949-r_at	NARS2
axo13055-f_at	HBP1
axo21616-r_at	
axo02214-f_at	HARBI1
axo31376-f_s_at	
axo23217-f_at	
axo13695-f_at	ETFA
axo07795-f_at	FBLN1
axo10577-f_at	ZFP36L1
axo21059-f_at	KIAA0101
axo12330-f_at	MAN1A2
axo17220-f_at	TOMM7
axo05488-r_at	UROD
axo06355-r_at	PARVG
axo13270-f_at	ATXN10
axo13121-f_at	LETM1
axo15260-f_at	FAH
axo11197-f_at	ACAT1
axo11796-r_at	NUCB1
axo20366-f_s_at	KRT12
axo17221-f_at	EML4
axo19124-r_at	GSN
axo13968-r_at	LRRC14
axo13776-r_at	PKP4
axo13586-r_at	ADAMTS2
axo24831-f_at	
axo07630-r_at	CNTN1
axo11379-r_at	SORBS3
axo09203-f_at	NRIP1
axo16876-f_at	MBNL3
axo15256-f_at	GPKOW
axo27001-f_at	
axo27803-f_at	
axo04836-f_at	MYO3B
axo18681-f_at	GGCT
axo08671-f_at	RENBP
axo04141-r_at	
axo16324-f_at	C1orf27
axo18885-f_at	LAMB3
axo07124-r_at	CTSL2
axo00980-f_at	HN1L
axo16795-r_at	RHOT1
